label,pooling,layer,best_C,n_train,n_test,accuracy,acc_ci_lo,acc_ci_hi,acc[honest],ci_lo[honest],ci_hi[honest],acc[deceptive],ci_lo[deceptive],ci_hi[deceptive],acc[role_based],ci_lo[role_based],ci_hi[role_based],acc[instructed],ci_lo[instructed],ci_hi[instructed],acc[instrumental],ci_lo[instrumental],ci_hi[instrumental],acc[prosocial],ci_lo[prosocial],ci_hi[prosocial],acc[self_serving],ci_lo[self_serving],ci_hi[self_serving]
behavior,mean_pooled,27,0.001,800,200,0.865,0.82,0.915,0.872,0.8090810276679842,0.9266110986797941,0.8533333333333334,0.7692307692307693,0.9294117647058824,,,,,,,,,,,,,,,
strategy,mean_pooled,27,0.01,800,200,0.99,0.975,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9137552934059286,1.0,,,,,,
stake_structure,mean_pooled,27,0.001,800,200,0.985,0.965,1.0,,,,,,,,,,,,,,,,0.9875,0.9577313883299798,1.0,0.9833333333333333,0.9586776859504132,1.0
behavior,mean_pooled,28,0.001,800,200,0.855,0.805,0.905,0.864,0.8015267175572519,0.9212886912842791,0.84,0.7557647584973166,0.92,,,,,,,,,,,,,,,
strategy,mean_pooled,28,0.1,800,200,0.995,0.985,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,0.9419857235561323,1.0,,,,,,
stake_structure,mean_pooled,28,0.1,800,200,0.995,0.985,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.9916666666666667,0.9739073226544623,1.0
behavior,mean_pooled,29,0.001,800,200,0.84,0.79,0.89,0.864,0.8015267175572519,0.9212886912842791,0.8,0.7083173076923077,0.8919022869022869,,,,,,,,,,,,,,,
strategy,mean_pooled,29,0.01,800,200,0.995,0.985,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,0.9419857235561323,1.0,,,,,,
stake_structure,mean_pooled,29,0.01,800,200,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
behavior,mean_pooled,30,0.001,800,200,0.845,0.795,0.8901249999999999,0.864,0.8015267175572519,0.9212886912842791,0.8133333333333334,0.7249671052631579,0.9000308641975309,,,,,,,,,,,,,,,
strategy,mean_pooled,30,0.1,800,200,0.995,0.985,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,0.9419857235561323,1.0,,,,,,
stake_structure,mean_pooled,30,0.001,800,200,0.99,0.975,1.0,,,,,,,,,,,,,,,,0.9875,0.9577313883299798,1.0,0.9916666666666667,0.9734454013906447,1.0
behavior,mean_pooled,31,0.001,800,200,0.85,0.8,0.9,0.864,0.8015267175572519,0.9212886912842791,0.8266666666666667,0.7424120234604106,0.9090909090909091,,,,,,,,,,,,,,,
strategy,mean_pooled,31,0.1,800,200,0.995,0.985,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,0.9419857235561323,1.0,,,,,,
stake_structure,mean_pooled,31,0.001,800,200,0.99,0.975,1.0,,,,,,,,,,,,,,,,0.9875,0.9577313883299798,1.0,0.9916666666666667,0.9734454013906447,1.0
behavior,mean_pooled,32,0.001,800,200,0.835,0.78,0.885,0.848,0.7833152173913044,0.9091095380029806,0.8133333333333334,0.7260085804606353,0.8965644016227181,,,,,,,,,,,,,,,
strategy,mean_pooled,32,0.01,800,200,0.99,0.975,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9137552934059286,1.0,,,,,,
stake_structure,mean_pooled,32,0.1,800,200,0.99,0.975,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.9833333333333333,0.9586776859504132,1.0
