pooling,layer,cosine_raw,cosine_std,null_abs_cos_lo,null_abs_cos_hi,above_null,n_A,n_B
last_token,13,0.09750139394353186,0.11493530388366881,0.0014863978408801242,0.07362884369467597,True,400,300
mean_pooled,13,0.30601434276892053,0.33050391716016125,0.0006703855430485786,0.054599152274829185,True,400,300
